name,rank_name
이가은,1
안유진,2
권은비,3
장원영,4
미야와키 사쿠라,5
최예나,6
왕이런,7
고토 모에,8
야마다 노에,9
이채연,10
타케우치 미유,11
마츠이 쥬리나,12
김시현,13
장규리,14
허윤진,15
미야자키 미호,16
김민주,17
이시안,18
조유리,19
나고은,20
김채원,21
시로마 미루,22
코지마 마코,23
이와타테 사호,24
김도아,25
박서영,26
야부키 나코,27
무토 토무,28
타카하시 쥬리,29
배은영,30
무라카와 비비안,31
유민영,32
왕크어,33
고유진,34
박해윤,35
조가현,36
나카니시 치요리,37
치바 에리이,38
김민서,39
강혜원,40
아사이 나나미,41
모토무라 아오이,42
무라세 사에,43
김소희,44
시타오 미우,45
황소연,46
혼다 히토미,47
이유정,48
박진희,49
윤해솔,50
김수윤,51
최연수,52
나카노 이쿠미,53
하세가와 레나,54
마츠오카 나츠미,55
박민지,56
신수현,57
이하은,58
모기 시노부,59
이승현,60
아라마키 미사키,61
조영인,62
김나영,63
이마다 미나,64
김다연,65
사토 미나미,66
오다 에리나,67
윤은빈,68
박찬주,69
박지은,70
타나카 미쿠,71
김현아,72
카토 유우카,73
강다민,74
김초연,75
홍예지,76
원서연,77
조아영,78
한초원,79
아사이 유우카,80
나가노 세리카,81
나이키 코코로,82
이치카와 마나미,83
쿠리하라 사에,84
손은채,85
알렉스 크리스틴,86
시노자키 아야나,87
안예원,88
김다혜,89
조사랑,90
츠키아시 아마네,91
최소은,92
김유빈,93
이채정,94
우메야마 코코나,95
우에무라 아즈사,96
