name,rank_name
이가은,1
안유진,2
미야와키 사쿠라,3
장원영,4
권은비,5
고토 모에,6
최예나,7
타케우치 미유,8
왕이런,9
이채연,10
야마다 노에,11
마츠이 쥬리나,12
시로마 미루,13
장규리,14
미야자키 미호,15
야부키 나코,16
김시현,17
조유리,18
김민주,19
타카하시 쥬리,20
허윤진,21
혼다 히토미,22
치바 에리이,23
이와타테 사호,24
코지마 마코,25
고유진,26
이시안,27
나고은,28
무라카와 비비안,29
김채원,30
김도아,31
무토 토무,32
이하은,33
배은영,34
박서영,35
모토무라 아오이,36
김초연,37
조가현,38
시타오 미우,39
나카니시 치요리,40
강혜원,41
아사이 나나미,42
박해윤,43
왕크어,44
무라세 사에,45
유민영,46
김민서,47
김소희,48
이유정,49
나카노 이쿠미,50
황소연,51
마츠오카 나츠미,52
손은채,53
김수윤,54
모기 시노부,55
윤해솔,55
최연수,57
김나영,58
사토 미나미,59
박민지,60
박진희,61
신수현,62
하세가와 레나,63
김현아,64
윤은빈,65
아라마키 미사키,66
이마다 미나,67
이승현,68
오다 에리나,69
김다연,70
박찬주,71
타나카 미쿠,72
카토 유우카,73
조영인,74
강다민,75
나가노 세리카,76
시노자키 아야나,77
김다혜,78
박지은,79
홍예지,80
쿠리하라 사에,81
나이키 코코로,82
아사이 유우카,83
안예원,84
알렉스 크리스틴,85
조아영,86
이치카와 마나미,87
한초원,88
최소은,89
원서연,90
조사랑,91
이채정,92
김유빈,93
