name_rom,name_kor,agency,birth,blood_type,height,weight,trainee_period,hobbies,speciality,url_video,rank1_num,rank2_num,rank3_num
Lee Seunghyeon,이승현,WM,2001,B,171cm,55kg,2 years 5 months,"watching movies, listening to music","playing piano, speaking Japanese",https://www.youtube.com/watch?v=RA3cfUjNA6o,66,60,68.0
Lee Chaeyeon,이채연,WM,2000,A,164kg,47kg,4 years 1 month,"watching dramas, learning choreography from video","wacking, girl hip-hop",https://www.youtube.com/watch?v=AtSJprv9O3Y,29,10,10.0
Cho Yeongin,조영인,WM,2001,A,166cm,53kg,10 months,"singing harmonies, badminton",urban dancing,https://www.youtube.com/watch?v=IBW13CORR60,74,62,74.0
Kim Choyeon,김초연,A team,2001,B,164cm,44kg,1 year 6 months,"reciting drama scripts, caricatures",animal impressions,https://www.youtube.com/watch?v=QAG7JNl0rVE,68,75,37.0
Won Seoyeon,원서연,MMO,2000,AB,167cm,50kg,7 months,copying songs from singers she likes,imitating Maenggu's voice,https://www.youtube.com/watch?v=gLT3wlsFojo,81,77,90.0
Park Minji,박민지,MND17,1999,O,164cm,50kg,2 years 4 months,making harmonies while listening to songs,"singing, playing piano, speaking English",https://www.youtube.com/watch?v=JvEvg3ZZGmY,49,56,60.0
Park Chanju,박찬주,MND17,1999,B,163cm,50kg,2 years 1 month,"watching dramas and movies, playing computer games",dancing,https://www.youtube.com/watch?v=zO4tZPk6-y8,85,69,71.0
Lee Chaejeong,이채정,MND17,1999,AB,164cm,48kg,3 years 6 months,"collecting lip tints, choreographing","dancing, choreographing, imitating an ostrich",https://www.youtube.com/watch?v=LGxL6ZZzrDs,96,94,92.0
Kim Doah,김도아,F ENT,2003,O,163cm,42kg,1 year 2 months,freestyle dancing alone,"voice imitations, aegyo",https://www.youtube.com/watch?v=vIeDOXbFU8U,31,25,31.0
Kim Hyunah,김현아,Collazoo Company,1995,A,171cm,56kg,5 years 6 months,"watching variety, visiting restaurants",boy group dance covers,https://www.youtube.com/watch?v=PrbiFQ0LD48,67,72,64.0
Shin Suhyun,신수현,FAVE,1996,B,163cm,45kg,11 months,"reading, watching Chinese dramas",speaking Chinese,https://www.youtube.com/watch?v=FyjiRpLOeZk,42,57,62.0
Kim Minseo,김민서,HOW,2002,AB,166cm,44kg,7 months,"watching mukbang, taking photos, cooking",acting,https://www.youtube.com/watch?v=k2cP_oWIOxQ,62,39,47.0
Wang Ke,왕크어,HOW,2000,O,165cm,45kg,8 months,"watching dramas, cooking",making sounds with her body,https://www.youtube.com/watch?v=7wirFNf057M,92,33,44.0
Yu Minyoung,유민영,HOW,2000,O,163cm,43kg,6 months,watching dramas over and over,"singing, rapping",https://www.youtube.com/watch?v=EQLuLmmuPqs,86,32,46.0
Kim Sihyeon,김시현,Yuehua,1999,B,168cm,51kg,2 years 2 months,"cooking, collecting pretty stuff, nail art","singing, dancing",https://www.youtube.com/watch?v=VA5tws6KPbs,15,13,17.0
Wang Yiren,왕이런,Yuehua,2000,AB,163cm,42.3kg,1 year 4 months,"shopping, cooking","Chinese dancing, voice imitations",https://www.youtube.com/watch?v=uOUbbqsoBtI,11,7,9.0
Choi Yena,최예나,Yuehua,1999,A,163cm,45kg,3 years 5 months,"gaming, watching movies alone",using her lips,https://www.youtube.com/watch?v=GR-dYYJF1yw,7,6,7.0
Alex Christine,알렉스 크리스틴,ZB Label,1996,--,150cm,42kg,2 years 11 months,"writing, photography","modern dance, ballet, jazz dance, acrobatics",https://www.youtube.com/watch?v=c_amFcqfdes,88,86,85.0
Park Haeyoon,박해윤,FNC,1996,A,157cm,43kg,3 years 10 months,"calligraphy, travelling",speaking Japanese,https://www.youtube.com/watch?v=DjfkDKvyYcI,59,35,43.0
Cho Ahyeong,조아영,FNC,2001,B,157cm,44kg,1 year 7 months,"meditating, drawing while listening to music","rapping, dancing, composing, writing lyrics, rap making",https://www.youtube.com/watch?v=cFSS-OQ-PvY,83,78,86.0
Lee Haeun,이하은,MNH,2004,O,153cm,42kg,2 years 4 months,"creating choreography, playing with Nano blocks","dance, playing the ocarina",https://www.youtube.com/watch?v=uZMgI1M5gFk,51,58,33.0
Na Goeun,나고은,RBW,1999,B,160cm,44kg,1 year,"watching videos by herself, watching cooking videos","imitating Taeyeon, voice imitating (chicken, cats crying)",https://www.youtube.com/watch?v=0JI76iLnsV4,36,20,28.0
Park Jieun,박지은,RBW,1997,A,166cm,49kg,4 years 1 month,playing with dogs,playing guitar,https://www.youtube.com/watch?v=vtqcEArr_CQ,77,70,79.0
Son Eunchae,손은채,Million Market,1999,A,154cm,38kg,6 months,"walking, cooking, watching movies","wacking, girl hip-hop, urban dance",https://www.youtube.com/watch?v=_vrjE3L3QJE,95,85,53.0
Cho Sarang,조사랑,Million Market,2003,AB,155cm,43kg,6 months,"reading webtoons, writing down ideas/thoughts","singing, dancing, figure skating, playing drums, playing haegeum",https://www.youtube.com/watch?v=EhK1nMfi-_o,89,90,91.0
Kim Nayoung,김나영,Banana Culture,2002,O,155cm,43kg,1 year 7 months,"Imitating the way someone talks, or acts","jump roping, cartwheels",https://www.youtube.com/watch?v=bxTVZmKntSg,55,63,58.0
Kim Dahye,김다혜,Banana Culture,2000,O,166cm,47kg,1 year 1 month,studying unique dances,"speaking Japanese, reciting Japanese children songs",https://www.youtube.com/watch?v=F6VGm8n3tnA,80,89,78.0
Bae Eunyeong,배은영,Stone Music,1997,B,163cm,50kg,9 months,"solving puzzles, reading, walking",speaking Japanese (beginner level),https://www.youtube.com/watch?v=ck92TPGbrng,18,30,34.0
Lee Sian,이시안,Stone Music,1999,A,170cm,53kg,9 months,"heart dancing, eating, fitness, swimming, running","singing, dancing, rap, playing piano, heart dance",https://www.youtube.com/watch?v=7YCRI7TckIQ,8,18,27.0
Jang Gyuri,장규리,Stone Music,1997,B,168cm,51kg,9 months,"watching movies, listening to music","playing piano, playing guitar, playing drums, playing violin",https://www.youtube.com/watch?v=1b2DO3lvaHE,6,14,14.0
Jo Yuri,조유리,Stone Music,2001,AB,160cm,45kg,9 months,"singing, playing guitar, playing keyboard, playing drums","singing, playing keyboard, playing drums",https://www.youtube.com/watch?v=NcSQJrIOyKo,10,19,18.0
Kim Minju,김민주,Urban Works,2001,AB,165cm,45kg,2 year 10 months,"walking, photography, sitcoms","imitating faces (monkey, giraffe), playing guitar",https://www.youtube.com/watch?v=W0fZ0GliMlU,13,17,19.0
Kang Damin,강다민,Wellmade Yedang,2004,AB,162.5cm,42kg,11 months,hide and seek,"playing drums, imitating pterodactyl and ajaeng",https://www.youtube.com/watch?v=-iaEkgpCv-o,70,74,75.0
Hwang Soyeon,황소연,Wellmade Yedang,2000,A,165cm,47kg,1 year,"letting loose to music, writing down feelings while watching performance videos",dancing,https://www.youtube.com/watch?v=Qiw9bauiBFI,90,46,51.0
Kim Dayeon,김다연,CNC,2003,A,158cm,41kg,8 months,"freestyle dancing, learning contemporary dance with Eunbin","hip-hop dance, basketball, moving one eye at a time",https://www.youtube.com/watch?v=S-owuTEvBKY,60,65,70.0
Kim Yubin,김유빈,CNC,2002,B,166cm,47kg,1 year,"cooking, watching mukbang videos","girl hip-hop, house dance",https://www.youtube.com/watch?v=hJP2GtJcTxw,90,93,93.0
Yoon Eunbin,윤은빈,CNC,2004,O,154cm,38.7kg,11 months,"listening to music, exercising","hip-hop dance, urban dance",https://www.youtube.com/watch?v=zBa0WvfFjd4,54,68,65.0
Lee Yujeong,이유정,CNC,2004,AB,160cm,41kg,6 months,"playing piano, kpop dance",musicals,https://www.youtube.com/watch?v=IYTWtdtLUik,33,48,49.0
